Trigger Index,Target Index,Trigger Up Threshold (%),Trigger Down Threshold (%),Holding Days,Total Return (%),Sharpe Ratio,Max Drawdown (%)
手套,大盘,0.5,-1.5,15,0.5323511633920498,-2.9858968147336022,
手套,大盘,0.5,-0.5,20,0.5288012086627704,-3.3669208342510073,
手套,大盘,2.0,-1.5,20,0.5264025773304841,-3.3121400665061667,
手套,大盘,1.0,-0.1,15,0.5262587065627264,-3.3132417593147734,
手套,大盘,1.0,-2.0,15,0.5257766390042231,-3.3169375943793886,
手套,大盘,1.0,-0.5,20,0.5251718255081488,-3.321584073889673,
手套,大盘,0.5,-1.0,15,0.5228519936092324,-3.04724721607357,
手套,大盘,1.0,-1.0,15,0.5164868673220857,-3.3895063615747194,
手套,大盘,1.0,-1.5,15,0.5065975350448303,-3.469683384010188,
手套,大盘,0.5,-1.0,20,0.5054495488477224,-3.559989158526236,
手套,大盘,1.0,-0.5,15,0.5053578236039543,-3.47995559364022,
手套,大盘,0.5,-1.5,20,0.5040342803593839,-3.572278649193696,
手套,大盘,0.5,-0.5,15,0.5039334000630905,-3.175686043953116,
手套,大盘,1.0,-0.1,10,0.49935409955299775,-3.5304238677229782,
手套,大盘,1.0,-1.5,10,0.49859863854522296,-3.5368604852204726,
手套,大盘,0.5,-1.5,10,0.49583648664995006,-3.3178306799236217,
手套,大盘,0.5,-2.0,15,0.4955716825534575,-3.2352852684888753,
手套,大盘,1.0,-2.0,8,0.48827011896143463,-3.626858352435072,
手套,大盘,1.0,-1.5,8,0.48827011896143463,-3.626858352435072,
手套,大盘,1.0,-0.5,8,0.4831402555817918,-3.672987755018539,
手套,大盘,1.0,-1.0,8,0.4831402555817918,-3.672987755018539,
手套,大盘,1.0,-0.1,8,0.4831402555817918,-3.672987755018539,
手套,大盘,1.0,-2.0,10,0.4825980401044699,-3.677920839405008,
手套,大盘,0.5,-0.1,10,0.47986777072445974,-3.5820837808977184,
手套,大盘,1.0,-0.5,10,0.47844759194933484,-3.7160520406974986,
手套,大盘,1.0,-1.0,10,0.47844759194933484,-3.7160520406974986,
手套,大盘,0.5,-0.5,10,0.46720450806074015,-3.5471964854770683,
手套,大盘,1.5,-2.0,15,0.46025173489972543,-3.891338419389383,
手套,大盘,0.5,-2.0,10,0.4578173950477481,-3.6281728264719533,
手套,大盘,0.5,-0.5,8,0.45726316667587935,-3.777301239943707,
手套,大盘,0.5,-0.1,8,0.45683555554287797,-3.798978663314814,
手套,大盘,0.5,-1.0,10,0.4559976287209097,-3.644227553113901,
手套,大盘,2.0,-2.0,20,0.4515664025214119,-3.979987633837258,
手套,大盘,0.5,-1.0,8,0.44605517310407194,-3.885979930736746,
手套,大盘,0.5,-2.0,8,0.44605517310407194,-3.885979930736746,
手套,大盘,0.5,-1.5,8,0.44605517310407194,-3.885979930736746,
手套,大盘,1.5,-2.0,20,0.42339684919719583,-4.292535315371194,
手套,大盘,2.0,-1.0,10,0.41221810254808666,-4.428405466079198,
手套,大盘,2.0,-1.5,10,0.41221810254808666,-4.428405466079198,
手套,大盘,0.1,-2.0,8,0.39786059405087487,-5.434557043025043,
手套,大盘,0.1,-1.5,8,0.39786059405087487,-5.434557043025043,
手套,大盘,2.0,-0.1,20,0.39634834121378215,-4.634455151681031,
手套,大盘,2.0,-0.1,15,0.39634834121378215,-4.634455151681031,
手套,大盘,2.0,-0.1,10,0.38998978031939624,-4.721718979795649,
手套,大盘,2.0,-0.5,10,0.38998978031939624,-4.721718979795649,
手套,大盘,2.0,-2.0,10,0.38958178373550334,-4.72741550949069,
手套,大盘,2.0,-0.5,20,0.37542028535377686,-4.932814619485516,
手套,大盘,2.0,-0.5,15,0.37542028535377686,-4.932814619485516,
手套,大盘,1.5,-1.5,10,0.36509486686597314,-5.092619471404921,
手套,大盘,1.5,-1.0,10,0.3449168971808135,-5.432528788380943,
手套,大盘,1.5,-0.1,15,0.33986927949659057,-5.523869818345428,
手套,大盘,1.5,-0.1,20,0.33986927949659057,-5.523869818345428,
手套,大盘,1.5,-1.0,7,0.33618142646768023,-5.592338792620006,
