Trigger Index,Target Index,Trigger Threshold (%),Future Days,Mean Return (%),Std Dev Return (%),Num Triggers,Num Observations
多普勒指数,百战指数,0.5,10,-0.981382848968483,4.570740961271186,60,58
多普勒指数,探员指数,0.5,1,0.5860672679331291,1.842408646936519,60,60
多普勒指数,探员指数,0.5,5,1.3651787686452856,4.4708807849067655,60,59
多普勒指数,探员指数,0.5,10,2.4075193872132847,5.747136264252951,60,58
多普勒指数,挂件指数,0.5,1,-0.017995173439692813,2.0580845354091766,60,60
多普勒指数,挂件指数,0.5,5,-0.04628169340221987,5.811097328155329,60,59
多普勒指数,挂件指数,0.5,10,0.06321189392810848,7.8279759004778215,60,58
多普勒指数,印花,0.5,1,0.3035287384172988,0.7621687684086303,60,60
多普勒指数,印花,0.5,5,1.2692793246852425,1.94156110474932,60,59
多普勒指数,印花,0.5,10,2.394281854521504,2.392545088517457,60,58
多普勒指数,手套,0.5,1,0.7508554093311174,2.4585380039957117,60,60
多普勒指数,手套,0.5,5,0.9545811057268567,7.989125364173136,60,59
多普勒指数,手套,0.5,10,1.7956399949592554,10.837238261230876,60,58
多普勒指数,刀,0.5,1,0.464009882128056,0.8316838357410546,60,60
多普勒指数,刀,0.5,5,0.7818119008255233,2.9911927189945993,60,59
多普勒指数,刀,0.5,10,1.1057338291352683,3.909985835830464,60,58
多普勒指数,武器箱,0.5,1,0.2447107903151,1.1864278110653443,60,60
多普勒指数,武器箱,0.5,5,0.6762545678090488,2.4104186532420475,60,59
多普勒指数,武器箱,0.5,10,1.3503350437103696,3.4774711678189423,60,58
千战指数,大盘,0.5,1,0.6249168912309151,2.1237369813415263,47,47
千战指数,大盘,0.5,5,0.9853748519681056,6.857110746232029,47,45
千战指数,大盘,0.5,10,0.11801696004938364,7.812539016863393,47,43
千战指数,多普勒指数,0.5,1,0.8617815904076447,2.257694786987086,47,47
千战指数,多普勒指数,0.5,5,2.169262541753283,7.303432651708037,47,45
千战指数,多普勒指数,0.5,10,1.7928846873233897,9.135990208151734,47,43
千战指数,百战指数,0.5,1,0.5280118889787707,1.697023267915366,47,47
千战指数,百战指数,0.5,5,0.6822414191041641,4.599476563870891,47,45
千战指数,百战指数,0.5,10,0.37912347028259796,4.422804936100777,47,43
千战指数,探员指数,0.5,1,0.544779359768309,1.7187066148993537,47,47
千战指数,探员指数,0.5,5,2.080387994669616,4.827613794557418,47,45
千战指数,探员指数,0.5,10,2.103398317140856,5.149903174191052,47,43
千战指数,挂件指数,0.5,1,0.33523339612661396,2.1570351141489317,47,47
千战指数,挂件指数,0.5,5,0.2618093525179418,4.989926924164798,47,45
千战指数,挂件指数,0.5,10,1.7276303389386662,7.54828898383549,47,43
千战指数,印花,0.5,1,0.3756822277459221,0.8028243620215014,47,47
千战指数,印花,0.5,5,1.358745618837309,2.065355400848661,47,45
千战指数,印花,0.5,10,2.2834579659260203,2.474773892705634,47,43
千战指数,手套,0.5,1,0.9504317322615159,2.6003930241309643,47,47
千战指数,手套,0.5,5,1.0499587384230895,8.519167272241106,47,45
千战指数,手套,0.5,10,-0.0457198000291396,10.386659856719602,47,43
千战指数,刀,0.5,1,0.3836701940027292,0.937712282651942,47,47
千战指数,刀,0.5,5,0.7745977226460484,3.183824188019386,47,45
千战指数,刀,0.5,10,0.7013109868913948,4.0982544617231005,47,43
千战指数,武器箱,0.5,1,0.2581867071959527,1.2503279847827224,47,47
千战指数,武器箱,0.5,5,0.6421094336251614,2.2630042825443906,47,45
千战指数,武器箱,0.5,10,1.008387480344235,3.2626305975451504,47,43
百战指数,大盘,0.5,1,0.6637820233199521,1.997989146069461,47,47
百战指数,大盘,0.5,5,1.7298955428633596,7.158173236157121,47,45
百战指数,大盘,0.5,10,0.25286705190989206,7.668108469977867,47,44
